session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch
2ac06238-2c91-4995-86b2-b882f242e023	2026-04-05T02:53:18.965Z	rick	glm-4.7	514	48	114531	6384	1371648	0	main
0c0beaa4-dc71-4271-ae3b-b7a054e2ea62	2026-04-05T06:36:44.363Z	xz	glm-4.7	158	60	24400	13548	2058624	0	main
0c41ca3e-ccbc-492c-a356-2d9b139aa964	2026-04-05T12:13:29.633Z	xz	glm-4.7	55	40	71691	6589	1226368	0	main
0fbe7e78-50a1-4b5d-a5e1-a2c961daf6de	2026-04-05T11:53:06.628Z	xz	glm-4.7	234	73	104922	18220	2397696	0	main
1c21526e-fa81-4246-a242-474775dbfebe	2026-04-05T12:15:49.537Z	xz	glm-4.7	213	79	43013	18911	3824640	0	main
1e480c5a-1ad1-4bfb-a1b6-eb6a5f9610d3	2026-04-05T07:23:17.447Z	xz	glm-4.7	7371	30	94177	5845	349696	0	main
1fcedd64-b7a5-4aec-ae85-99773b78e272	2026-04-05T12:05:03.159Z	xz	glm-4.7	30	23	6938	3239	559872	0	main
2526d59e-1c88-44e6-b8d4-92873f085c60	2026-04-05T06:29:52.057Z	xz	glm-4.7	230	49	95030	23236	1273728	0	main
3a3e3b39-89f4-42a8-98bd-24b268da7346	2026-04-05T11:58:43.804Z	xz	glm-4.7	33	23	7209	3871	638720	0	main
422dab85-8e3d-497f-bf75-33e7be8aa3e3	2026-04-05T11:57:12.926Z	xz	glm-4.7	36	35	77577	3605	1095808	0	main
44eb6c03-a5c1-4abc-a409-6a83ab93fcfa	2026-04-05T06:25:14.036Z	xz	glm-4.7	229	83	163012	12191	2962304	0	main
4a0d52fa-803b-464d-85da-0c15ce4f0df0	2026-04-05T11:59:27.269Z	xz	glm-4.7	234	62	117285	19409	1577344	0	main
4de8fb81-7de6-4b2e-8d42-923b2381edad	2026-04-05T11:52:30.531Z	xz	glm-4.7	25	25	56493	3000	721536	0	main
5e4ac7b2-5d14-40ac-ab1f-b89ab4980e66	2026-04-05T06:34:01.686Z	xz	glm-4.7	75	51	9530	5550	1608064	0	main
63c16ebb-9432-4664-ad49-188cefa52b16	2026-04-05T09:26:37.603Z	xz	glm-4.7	6095	50	46833	2575	526848	0	main
640e05de-68cf-4503-8194-21c858d595c0	2026-04-05T11:58:00.500Z	xz	glm-4.7	37	42	75028	2261	1231616	0	main
6449aff0-e027-4d74-b41b-7368b415a74e	2026-04-05T06:24:03.844Z	xz	glm-4.7	48	31	60215	4436	878336	0	main
711742e0-5627-430d-9690-aeeef1c8b596	2026-04-05T12:04:24.721Z	xz	glm-4.7	30	36	9999	2216	948608	0	main
8b0bbe3c-d501-4334-b6f9-06d667444190	2026-04-05T06:40:11.585Z	xz	glm-4.7	2555	46	74652	19342	1159552	0	main
8ea46a4e-885f-4754-a1b4-17120a79b794	2026-04-05T12:15:11.897Z	xz	glm-4.7	31	25	11623	2776	581376	0	main
9ec6e234-4ff3-496c-b09a-7de0759831b5	2026-04-05T06:39:30.004Z	xz	glm-4.7	29	30	7276	2832	779264	0	main
9f4cb758-ef5d-4cfd-8cd9-0344958d7922	2026-04-05T06:35:29.709Z	xz	glm-4.7	8	5	52205	597	81792	0	main
9fd67244-05bd-4ac1-bdc9-43a980af5347	2026-04-05T12:05:42.041Z	xz	glm-4.7	111	48	57456	14827	1610880	0	main
b9a278b1-f226-456c-aa4c-55509deaa7f8	2026-04-05T12:09:52.307Z	xz	glm-4.7	40	28	12035	3464	756736	0	main
c3a724a2-aad8-440d-9fb5-5e24d3175bbf	2026-04-05T12:03:30.016Z	xz	glm-4.7	49	22	21650	3996	657152	0	main
c8968739-422f-4019-a9e4-2b9cf707e407	2026-04-05T12:10:43.602Z	xz	glm-4.7	34	16	59835	2956	361088	0	main
c8ad4c60-10c3-4183-b148-e1b28fc4b9b5	2026-04-05T06:35:45.774Z	xz	glm-4.7	51	25	4381	3356	692992	0	main
d29294e0-e4c0-4629-b7b2-ec75805bce73	2026-04-05T11:09:15.868Z	xz	glm-4.7	1064	22	55173	2410	576640	0	main
d44de7f6-ccb0-4eca-b2f9-bbbb5b4d75e6	2026-04-05T06:29:16.749Z	xz	glm-4.7	21	14	54060	2280	360192	0	main
ddcfa384-1cb8-41ca-970a-872208b12df9	2026-04-05T03:26:02.456Z	xz	glm-4.7	10562	72	175359	9941	1227008	0	HEAD
e0e9bd7e-fc82-4bfb-ac7a-23d773102070	2026-04-05T11:27:34.410Z	xz	glm-4.7	1487	156	93042	28015	5702400	0	main
f1b5171d-f296-427b-8453-358cfd8a024f	2026-04-05T12:14:35.313Z	xz	glm-4.7	30	27	69933	1417	690816	0	main
f6ebe6ce-591d-467e-94bd-0085f6009f2b	2026-04-05T12:07:44.219Z	xz	glm-4.7	122	54	128429	8667	1405184	0	main
f74aad3a-07fa-48b7-a750-e853595316db	2026-04-05T12:11:24.909Z	xz	glm-4.7	112	30	32014	12436	966272	0	main
