session_id	timestamp	project	model	duration_seconds	message_count	tokens_input	tokens_output	tokens_cache_read	tokens_cache_creation	git_branch	tokens_reasoning	source
568c7c39-1756-45c5-a67f-c8ba48ebddf0	2026-08-12T08:02:19+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-64ae3b56-workdir	glm-5.2	115	5	77566	1162	168704	0	HEAD	0	claude
dcf1bbfc-075f-46bd-8279-3e22278832d5	2026-08-12T08:30:55+08:00	-home-ant-multica-workspaces-desktop-api-multica-ai-e0bd491e-bba5-40dc-b1c1-87e09acdfb08-f346fbea-workdir	glm-5.2	30	4	40287	486	141952	0	HEAD	0	claude
ses_00c615922ffeb7giTDxLqotEK0	2026-08-12T09:38:08+08:00	inherit-mcp-server	deepseek-v4-flash	158	15	143324	6845	1107968	0	master	17435	opencode
ses_00c5dc250ffesiG6mqW1nPEB47	2026-08-12T09:42:03+08:00	inherit-mcp-server	deepseek-v4-flash	1353	37	44901	5435	1372800	0	master	3721	opencode
ses_00c4c9600ffehjh9BDFyTLHckt	2026-08-12T10:00:49+08:00	inherit-mcp-server	deepseek-v4-flash	4	3	13286	132	35072	0	master	28	opencode
sess_d8a0f7c4-028f-4c41-a13f-2a5c48ce67be	2026-08-12T14:28:06+08:00	breathe-app	GLM-5.2	1953	2	1259577	34460	1173824	0	main	0	zcode
ses_00b33f8bbffeejvIA602VoOWa4	2026-08-12T15:07:19+08:00	breathe-app	deepseek-v4-flash	681	37	43211	19438	1941760	0	main	22444	opencode
db95b94c-99a6-4e5b-aebb-81cfa827d81a	2026-08-12T16:03:02+08:00	-home-ant-code-java-scrm-api	glm-5.2	5004	55	223350	82098	5945792	0	master	0	claude
94d65c67-b425-423f-9cd1-cd3cc5850229	2026-08-12T16:15:18+08:00	-home-ant-code-java-scrm-api	glm-5.2	599	10	40907	15927	568384	0	fix/xiongying-wedoc-student-dedup	0	claude
414bb84f-3c2a-42ef-a30e-a04d852f9dcf	2026-08-12T16:29:09+08:00	-home-ant-code-golang-src-scrmgo	glm-5.2	123	9	38251	3617	506752	0	9.8/NFQX-12702	0	claude
